HTML File,Case,Page,Image Source,New Image,Citation,Second Line Citation
dist/journeys/case-3/9/index.html,case-3,9,https://npr.brightspotcdn.com/legacy/sites/wlrn/files/201910/jackson_memorial_sn01.jpeg,https://live.staticflickr.com/2853/11058888783_26b9144071_b.jpg,"Photo - Image by Phillip Pessar, retrieved from: https://www.flickr.com/photos/southbeachcars/11058888783 on March 17, 2024. Creative Commons License associated:CC BY 2.0","Source - Zaragovia V. Florida bill would require patients to share their immigration status. WLRN Web site. https://www.wlrn.org/health/2023-04-28/florida-bill-immigration-status. Updated April 28, 2023. Accessed March 17, 2024. "
dist/journeys/case-3/11/index.html,case-3,11,https://assets3.cbsnewsstatic.com/hub/i/r/2023/04/28/0142e5f8-766f-4403-8a02-d8aeab3d1401/thumbnail/1280x720/e5c803959574ebabad5a55c09256ce24/523841475772e4488828694f4447be89.jpg,https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIzLTAzL2ZsNTEwNjYxODUxOTYtaW1hZ2UuanBn.jpg,"Photo - Image by Jaime Rodriguez Sr, retrieved from: https://www.rawpixel.com/image/8726438/photo-image-public-domain-person-2021 on March 17, 2024. Imageis in the public domain. ","Source - CBS News Miami. CBS Web site. https://www.cbsnews.com/miami/video/immigration-bill-moving-in-florida-legislature/. Updated April 26, 2023. Accessed March 17, 2024. "
dist/journeys/case-3/1/index.html,case-3,1,https://static01.nyt.com/images/2019/07/26/nyregion/26marylou-01/merlin_158407269_77e4911a-4a58-45db-80b2-0243d1182254-superJumbo.jpg?quality=75&auto=webp,https://jumpernation.com/wp-content/uploads/2016/05/4607801339_ca63c2ae9b_o-759x500.jpg ,"Photo - Image by Steven Lilley, retrieved from: https://jumpernation.com/back-at-the-barn-with-kentucky-performance-products-clean-wash-rack-healthy-horse/ on March 17, 2024. Creative Commons License associated: CC BY-SA 2.0","Source - Blackburn PH. Ahead of Kentucky Derby, shortage of migrant workers looms for trainers. Border Report Web site. https://www.borderreport.com/immigration/ahead-of-kentucky-derby-shortage-of-migrant-workers-looms-for-trainers/. Updated August 30, 2020. Accessed March 17, 2024. "
dist/journeys/case-3/8/index.html,case-3,8,https://i.guim.co.uk/img/media/ffaccf3415ef8738398f0794d0ac65a7a7e22637/55_0_2945_1767/master/2945.jpg?width=620&quality=45&dpr=2&s=none,https://live.staticflickr.com/65535/49065345096_1646e391d6_b.jpg ,"Photo - Image by Ivan Radic, retrieved from: https://www.flickr.com/photos/26344495@N05/49065345096 on March 17, 2024. Creative Commons License associated: CC BY 2.0","Source - Kilgannon C. Far from Winner’s Circle, Saratoga Track Workers Fear Deportation. NYT Web site. https://www.nytimes.com/2017/08/22/nyregion/far-from-winners-circle-saratoga-track-workers-fear-deportation.html. Updated August 22, 2017. Accessed March 17, 2024. "
dist/journeys/case-3/31/index.html,case-3,31,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/S2TQWNUCSII6PHT2ED5I26QNWY.jpg&w=1200,https://images.pexels.com/photos/13106979/pexels-photo-13106979.jpeg ,"Photo - Image by Tom Fisk, retrieved from: https://www.pexels.com/photo/woman-and-man-taking-care-of-a-horse-in-a-stable-13106979/ on March 17, 2024. Image is in the public domain. ","Source - Ockerman E. After ICE arrests in Saratoga Springs, some migrant workers fear showing up for racing season. Washington Post Web site. https://www.washingtonpost.com/national/after-ice-arrests-in-saratoga-springs-some-migrant-workers-fear-showing-up-for-racing-season/2017/08/25/a0cb3a9a-7c45-11e7-a669-b400c5c7e1cc_story.html. Updated August 25, 2017. Accessed March 17, 2024. "
dist/journeys/case-2/57/index.html,case-2,57,https://fwiw.imgix.net/wp-content/uploads/sites/7/2020/09/homeless-1--scaled.jpg?w=1400&fm=webp,https://upload.wikimedia.org/wikipedia/commons/8/8e/Sleeping_on_the_Sidewalk_in_Atlanta.jpg,"Photo - Image by Bart Everson, retrieved from: https://commons.wikimedia.org/wiki/File:Sleeping_on_the_Sidewalk_in_Atlanta.jpg on March 17, 2024. Creative Commons License associated: CC BY 2.0",
dist/journeys/case-2/11/index.html,case-2,11,"https://www.motherjones.com/wp-content/uploads/2019/12/20191204-adelanto.jpg?resize=1536,863",https://cdn2.picryl.com/photo/2019/12/02/ice-dallas-office-opening-its-newest-detention-facility-e991cd-1024.jpg,"Photo - Image by Defense Visual Information Distribution Service, retrieved from: https://nara.getarchive.net/media/ice-dallas-office-opening-its-newest-detention-facility-e991cd on March 17, 2024. Image is in the public domain. ","Source - Pauly M. A Judge Says Thousands of Detainees May Sue a Prison Company for Using Them as a “Captive Labor Force.”  Mother Jones Web site. https://www.motherjones.com/criminal-justice/2019/12/immigration-detainee-geo-forced-labor-lawsuit/. Updated December 5, 2019. Accessed March 17, 2024. "
dist/journeys/case-2/1/index.html,case-2,1,https://www.mottodistribution.com/shop/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/e/detainee-handbook-pablo-allison-undocumented-press-9781999379742-5.jpeg,https://www.mottodistribution.com/shop/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/e/detainee-handbook-pablo-allison-undocumented-press-9781999379742-5.jpeg,"Photo - Image retrieved from: https://www.mottodistribution.com/shop/detainee-handbook-pablo-allison-undocumented-press-9781999379742.html on March 17, 2024. Permission received from Pablo Allison.",Source - 29. Allison P. Detainee Handbook. Undocumented Press; 2022.  
dist/journeys/case-2/10/index.html,case-2,10,https://img.assets-d.propublica.org/v5/images/202100401-unaccompanied-minors-1.jpg?crop=focalpoint&fit=crop&fm=webp&fp-x=0.5&fp-y=0.5&h=1333&q=75&w=2000&s=b4597dcc01ad5cee3057f6054632d1bd,https://img.assets-d.propublica.org/v5/images/202100401-unaccompanied-minors-1.jpg?crop=focalpoint&fit=crop&fm=webp&fp-x=0.5&fp-y=0.5&h=1333&q=75&w=2000&s=b4597dcc01ad5cee3057f6054632d1bd,"Photo - Image retrieved from: https://www.nytimes.com/2023/02/25/us/unaccompanied-migrant-child-workers-exploitation.html on March 17, 2024. Permission recieved from Kristen Luce. ","Source - Fowler LA. Lawmakers push for inspections at Tacoma's ICE detention center. KNKX Public Radio Web site. https://www.knkx.org/social-justice/2023-04-27/lawmakers-push-for-inspections-at-tacomas-ice-detention-center. Updated April 27, 2023. Accessed March 17, 2024."
dist/journeys/case-2/38/index.html,case-2,38,https://www.texasobserver.org/wp-content/uploads/2020/01/detention-web-jan2020-ap.png,https://www.crimemuseum.org/wp-content/uploads/2024/03/Solitary-Confinement.webp,"Photo - Image by Crime Museum, retrieved from: https://www.crimemuseum.org/crime-library/famous-prisons-incarceration/solitary-confinement/solitary-confinement-2/ on March 17, 2024. Image is in the public domain. ","Source - Dias I. ICE Quietly Lowers (Already Low) Standards at Some Immigrant Detention Facilities. Texas Observer Web site. https://www.texasobserver.org/ice-immigrant-detention-low-standards/. Updated January 21, 2020. Accessed March 17, 2024. "
dist/journeys/case-2/62/index.html,case-2,62,https://cdn.houstonpublicmedia.org/wp-content/uploads/2019/08/06183213/ICE-SERVICE-HEALTH-CORP.jpg.webp,https://cdn.houstonpublicmedia.org/wp-content/uploads/2019/08/06183213/ICE-SERVICE-HEALTH-CORP.jpg.webp,"Photo - Image by ICE Health Service Corps, retrieved from: https://www.tpr.org/border-immigration/2021-05-03/ice-begins-covid-19-vaccine-program-at-houston-immigrant-detention-facility on March 17, 2024. Image is in the public domain.  ",
dist/journeys/case-2/30/index.html,case-2,30,https://www.brennancenter.org/sites/default/files/styles/1400x800/public/2020-04/20200331_RS_GT62853287RM1630x932.jpg?itok=HvTMFFj_,https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTExL2ZsNDI4MzE3NDAwMTItaW1hZ2UuanBn.jpg,"Phone - Image by Customs and Border Protection, retrieved from: https://www.rawpixel.com/image/8723909/photo-image-public-domain-people on March 17, 2024. Image is in the public domain. ","Source - Santoro EM, Seidman J, Daza R. We Got Cameras Inside One of the Biggest ICE Detention Centers. This Is What We Saw. VICE News Web site. https://www.vice.com/en/article/xweqgn/we-got-cameras-inside-one-of-the-biggest-ice-detention-centers-this-is-what-we-saw. Updated August 2, 2019. Accessed March 17, 2024. "
dist/journeys/case-2/46/index.html,case-2,46,https://static01.nyt.com/images/2023/02/17/multimedia/00childlabor-hearthside3/00childlabor-hearthside3-superJumbo.jpg?quality=75&auto=webp,https://static01.nyt.com/images/2023/02/17/multimedia/00childlabor-hearthside3/00childlabor-hearthside3-superJumbo.jpg?quality=75&auto=webp,"Photo - Image retrieved from: https://www.nytimes.com/2023/02/25/us/unaccompanied-migrant-child-workers-exploitation.html on March 17, 2024. Permission recieved from Kristen Luce. ","Source - 30. Dreier H, Luce K. Alone and Exploited, Migrant Children Work Brutal Jobs Across the U.S. New York Times Web site. https://www.nytimes.com/2023/02/25/us/unaccompanied-migrant-child-workers-exploitation.html. Updated February 28, 2023. Accessed March 17, 2024.  "
dist/journeys/case-2/23/index.html,case-2,23,https://s.hdnux.com/photos/01/11/46/11/19292742/16/rawImage.jpg,https://images.rawpixel.com/image_800/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJsYXVuZGVyZXR0ZV93YXNoaW5nX21hY2hpbmVzX3dhc2gtaW1hZ2Uta3liZGN5dHUuanBn.jpg,"Photo - Image retrieved from: https://www.rawpixel.com/image/6035728/photo-image-public-domain-house-technology on March 17, 2024. Image is in the public domain. ","Source - Mass JH, Takei C. Forget About Calling A Lawyer Or Anyone at All if You’re in an Immigration Detention Facility. ACLU Web site. https://www.aclu.org/news/immigrants-rights/forget-about-calling-lawyer-or-anyone-all-if. Updated June 14, 2016. Accessed March 17, 2024. "
dist/journeys/case-2/3/index.html,case-2,3,https://www.aclu.org/wp-content/uploads/2019/09/blog16-norcal_immigration_detention_center_phone-1160x768.jpg,https://cdn2.picryl.com/photo/2018/08/27/photos-of-ice-igsa-caroline-detention-facility-outside-af8168-1024.jpg,"Photo - Image by Defense Visual Information Distribution Service, retrieved from: https://picryl.com/media/photos-of-ice-igsa-caroline-detention-facility-outside-af8168 on March 17, 2024. Image is in the public domain. ","Source - Jordan M. A Squalid Border Camp Finally Closed. Now Another One Has Opened. NYT Web site. https://www.nytimes.com/2021/08/25/us/migrant-camp-reynosa-remain-in-mexico.html. Updated August 25, 2021. Accessed March 17, 2024. "
dist/journeys/case-2/47/index.html,case-2,47,https://static01.nyt.com/images/2023/02/15/multimedia/00childlabor-hearthside2/00childlabor-hearthside2-superJumbo.jpg?quality=75&auto=webp,https://static01.nyt.com/images/2023/02/15/multimedia/00childlabor-hearthside2/00childlabor-hearthside2-superJumbo.jpg?quality=75&auto=webp,"Photo - Image retrieved from: https://www.nytimes.com/2023/02/25/us/unaccompanied-migrant-child-workers-exploitation.html on March 17, 2024. Permission recieved from Kristen Luce. ","Source - 30. Dreier H, Luce K. Alone and Exploited, Migrant Children Work Brutal Jobs Across the U.S. New York Times Web site. https://www.nytimes.com/2023/02/25/us/unaccompanied-migrant-child-workers-exploitation.html. Updated February 28, 2023. Accessed March 17, 2024.  "
dist/journeys/case-2/2/index.html,case-2,2,https://ww2.kqed.org/app/uploads/sites/10/2019/12/Adelanto-Immigration-Detention-ICE-1020x678.jpg,https://cdn2.picryl.com/photo/2018/08/27/photos-of-ice-igsa-caroline-detention-facility-outside-af8168-1024.jpg,"Photo - Image by Defense Visual Information Distribution Service, retrieved from: https://picryl.com/media/photos-of-ice-igsa-caroline-detention-facility-outside-af8168 on March 17, 2024. Image is in the public domain. ","Source - Jordan M. Inspectors Find Nooses in Cells at Immigration Detention Facility. NYT Web site. https://www.nytimes.com/2018/10/02/us/oig-inspector-general-adelanto-immigrants-nooses.html. Updated October 2, 2018. Accessed March 17, 2024. "
dist/journeys/case-2/13/index.html,case-2,13,https://www.texasobserver.org/wp-content/uploads/2020/01/detention-web-jan2020-ap.png,https://www.crimemuseum.org/wp-content/uploads/2024/03/Solitary-Confinement.webp,"Photo - Image by Crime Museum, retrieved from: https://www.crimemuseum.org/crime-library/famous-prisons-incarceration/solitary-confinement/solitary-confinement-2/ on March 17, 2024. Image is in the public domain. ","Source - Dias I. ICE Quietly Lowers (Already Low) Standards at Some Immigrant Detention Facilities. Texas Observer Web site. https://www.texasobserver.org/ice-immigrant-detention-low-standards/. Updated January 21, 2020. Accessed March 17, 2024. "
